Year,Title,Journal,Authors,Cite,Source
2022,Spontaneous non-Hermiticity in the ()-dimensional Gross-Neveu model,"Physical Review D 105 (2), 025014, 2022","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2022,Electron-positron pairs and radioactive nuclei production by irradiation of high-Z target with \gamma-photon flash generated by an ultra-intense laser in the regime,"arXiv preprint arXiv:2202.12701, 2022","D Kolenatý, P Hadjisolomou, R Versaci, TM Jeong, P Valenta, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:K2oAz6O6UC0C
2022,Quasimonoenergetic Proton Acceleration via Quantum Radiative Compression,"Physical Review Applied 17 (2), 024049, 2022","F Wan, WQ Wang, Q Zhao, H Zhang, TP Yu, WM Wang, WC Yan, YT Zhao, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:0sHf1WQLiqoC
2022,Ultrafast hard X-ray sources based on Relativistic Electrons at ELI Beamlines,"arXiv preprint arXiv:2202.04318, 2022","U Chaulagain, M Lamač, M Raclavský, S Karatodorov, J Nejdl, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:q7xreA_uRSAC
2022,TIME DYNAMICS OF THE DOSE DEPOSITED BY RELATIVISTIC ULTRA-SHORT ELECTRON BEAMS,"Physica Medica: European Journal of Medical Physics 94, S73, 2022","D Horvath, GM Grittani, M Precek, R Versaci, S Bulanov, V Olšovcová",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:g4uJmxMSBJ4C
2022,Gamma-ray flash in the interaction of a tightly focused single-cycle ultra-intense laser pulse with a solid target,"Journal of Plasma Physics 88 (1), 2022","P Hadjisolomou, TM Jeong, P Valenta, D Kolenaty, R Versaci, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:I2ffMtHfj0kC
2022,Discharge plasma formation in square capillary with gas supply channels,"Physical Review Research 4 (1), 013063, 2022","GA Bagdasarov, KO Kruchinin, AY Molodozhentsev, PV Sasorov, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:XenU2NaEi7IC
2022,Laser ion acceleration from tailored solid targets with micron-scale channels,"arXiv preprint arXiv:2201.06549, 2022","KV Lezhnin, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:0VSFeDpNB9YC
2021,Sex influences the brain functional connectivity correlates of originality,"Scientific reports 11 (1), 1-10, 2021","RB Silberstein, DA Camfield",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:lmc2jWPfTJgC
2021,Composite operator approach to dynamical mass generation in the -dimensional Gross–Neveu model,"International Journal of Modern Physics A 36 (31n32), 2150231, 2021","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2021,The phase structure of two color QCD and charged pion condensation phenomenon,"arXiv preprint arXiv:2105.05670, 2021","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2021,Influence of chiral asymmetry on phase structure of the two-color quark matter,"arXiv preprint arXiv:2105.04952, 2021","TG Khunjua, KG Klimenko, RN Zhokhov",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4957327371426497354
2021,Quark/hadronic matter and dualities of QCD thermodynamics,"PARTICLE PHYSICS at the Year of 150th Anniversary of the Mendeleev’s …, 2021","TG Khunjua, KG Klimenko, RN Zhokhov",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18290103044328311696
2021,On the electromagnetic-electron rings originating from the interaction of high-power short-pulse laser and underdense plasma,"Physics of Plasmas 28 (12), 122104, 2021","P Valenta, GM Grittani, CM Lazzarini, O Klimo, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:iQx6SG6YqqMC
2021,Relativistic flying laser focus by a laser-produced parabolic plasma mirror,"Physical Review A 104 (5), 053533, 2021","TM Jeong, SV Bulanov, P Valenta, G Korn, TZ Esirkepov, JK Koga, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:ZiNMQN0BhcIC
2021,Enhancement of laser-driven ion acceleration by laser pulse shaping via plasma shutter,"Bulletin of the American Physical Society 66, 2021","M Matys, M Kecova, M Kucharik, J Nikl, S Bulanov, M Jirka, P Janecka, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:33QqmnwUl7gC
2021,Laser-generated γ-ray flash interactions with high-Z target study employing Monte Carlo simulations,"Bulletin of the American Physical Society 66, 2021","D Kolenaty, P Hadjisolomou, R Versaci, TM Jeong, P Valenta, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:tVl1pAhtFpIC
2021,On the generation of superluminal or subluminal orbital angular momentum femtosecond laser pulse,"Bulletin of the American Physical Society 66, 2021","TM Jeong, S Bulanov, P Hadjisolomou, T Esirkepov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:ZlO_RPzxukQC
2021,Generation of high order harmonics in Heisenberg–Euler electrodynamics,"New Journal of Physics 23 (10), 105003, 2021","PV Sasorov, F Pegoraro, TZ Esirkepov, SV Bulanov",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Br_elLE5W3EC
2021,Superluminal-subluminal orbital angular momentum femtosecond laser focus,"Optics Express 29 (20), 31665-31679, 2021","TM Jeong, SV Bulanov, P Hadjisolomou, TZ Esirkepov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:N-L-qPymx-IC
2021,Two-color nonlinear resonances in betatron oscillations of laser accelerated relativistic electrons,"Physical Review Research 3 (3), 033088, 2021","M Lamač, U Chaulagain, M Jurkovič, J Nejdl, SV Bulanov",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:L_IB4DdK_bkC
2021,Ultra-strong attosecond laser focus produced by a relativistic-flying parabolic mirror,"International Conference on X-Ray Lasers 2020 11886, 118860H, 2021","TM Jeong, SV Bulanov, P Valenta, G Korn, TZ Esirkepov, JK Koga, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:rNquyMnMTcEC
2021,Dynamic mitigation of the tearing mode instability in a collisionless current sheet,"Scientific Reports 11 (1), 1-8, 2021","YJ Gu, S Kawata, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:AOdiZhSTT2UC
2021,Reaching high laser intensity by a radiating electron,"Physical Review A 103 (5), 053114, 2021","M Jirka, P Sasorov, SS Bulanov, G Korn, B Rus, SV Bulanov",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:RAZVmZGbs2gC
2021,Nonlinear waves in a dispersive vacuum described with a high order derivative electromagnetic Lagrangian,"Physical Review D 103 (9), 096012, 2021","F Pegoraro, SV Bulanov",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:1eNgJFoK9jQC
2021,Creation of an axially uniform plasma channel in a laser-assisted capillary discharge,"Physics of Plasmas 28 (5), 053104, 2021","GA Bagdasarov, NA Bobrova, OG Olkhovskaya, VA Gasilov, C Benedetti, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:6MG9__aTHiQC
2021,Generation of quasi-monoenergetic proton beams via quantum radiative compression,"arXiv preprint arXiv:2104.14239, 2021","F Wan, WQ Wang, Q Zhao, H Zhang, TP Yu, WM Wang, WC Yan, YT Zhao, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:V4DE3ynkokcC
2021,Dynamics of moving electron vortices and magnetic ring in laser plasma interaction,"Physics of Plasmas 28 (4), 042303, 2021","DN Yue, M Chen, PF Geng, XH Yuan, SM Weng, SS Bulanov, SV Bulanov, ...",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:BuJyUTDevxUC
2021,Ring-shaped electron beams from laser-wakefield accelerator,"Laser Acceleration of Electrons, Protons, and Ions VI 11779, 1177909, 2021","P Valenta, GM Grittani, CM Lazzarini, O Klimo, SV Bulanov",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:HE2-Ja1nLiQC
2021,Ion acceleration enhancement by laser-pulse shaping via plasma shutter,"Laser Acceleration of Electrons, Protons, and Ions VI 11779, 117790Q, 2021","M Matys, SV Bulanov, M Kecova, M Kucharik, M Jirka, P Janecka, J Psikal, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Zb7uFHg2Uq8C
2021,Laser-driven compact free electron laser: from extreme ultraviolet radiation to x-rays,"High Power Lasers and Applications 11777, 117770N, 2021","A Molodozhentsev, K Kruchinin, GM Grittani, T Green, J Nejdl, DD Mai, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:F2px_MPlIVkC
2021,Gamma-Ray Flash Generation in Irradiating Thin Foil Target by Single Cycle Tightly Focused Extreme Power Laser Pulse,"arXiv preprint arXiv:2103.03744, 2021","P Hadjisolomou, TM Jeong, P Valenta, G Korn, S Bulanov",5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:zBs7CkPFb0QC
2021,Dynamic mitigation of filamentation instability and magnetic reconnection in sheet-current sustained plasma,"arXiv preprint arXiv:2101.07939, 2021","YJ Gu, S Kawata, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:-NJPjLeJGJsC
2021,Extreme Gamma-Ray Flash in the λ3 Regime,"APS Division of Plasma Physics Meeting Abstracts 2021, BP11. 050, 2021","P Hadjisolomou, TM Jeong, P Valenta, D Kolenaty, R Versaci, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:awHEhYZT47wC
2021,Electron Dynamics in the Field of Strong Plasma and Electromagnetic Waves: A Review,"Physics of Wave Phenomena 29 (1), 1-46, 2021",SV Bulanov,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Lhzy3ZptxVQC
2021,Magnetic field annihilation and charged particle acceleration in ultra-relativistic laser plasmas,"High Power Laser Science and Engineering 9, e2, 2021","YJ Gu, SV Bulanov",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:-t9M6LJafnIC
2020,"The Matter of Facts Skepticism, Persuasion, and Evidence in Science by Gareth Leng & Rhodri I. Leng, MIT Press, 2020","Bioelectricity 2 (4), 424-425, 2020",R Silberstein,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:ILKRHgRFtOwC
2020,Conceptual Closure Elicited by Event Boundary Transitions Affects Commercial Communication Effectiveness,"Frontiers in Neuroscience 14, 292, 2020","R Silberstein, S Seixas, G Nield",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:p__nRnzSRKYC
2020,CORRECTION Open Access,unknown,"R Kao, F Priestap, A Donner",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:zLWjf1WUPmwC
